close,high,low,open,volume,datetime
6151.3,6162.0,6151.0,6162.0,165349.66,2020-03-20 02:08:00
6164.72,6169.86,6151.3,6151.3,222554.29,2020-03-20 02:09:00
6165.48,6166.28,6155.0,6164.72,341588.04,2020-03-20 02:10:00
6140.84,6168.3,6132.36,6165.48,404890.12,2020-03-20 02:11:00
6159.84,6160.0,6140.84,6140.84,498512.89,2020-03-20 02:12:00
6164.67,6164.67,6157.88,6159.84,239415.65,2020-03-20 02:13:00
6168.38,6173.36,6161.05,6164.67,293166.93,2020-03-20 02:14:00
6173.19,6179.87,6168.35,6168.38,343217.66,2020-03-20 02:15:00
6172.26,6180.0,6172.0,6173.19,175301.43,2020-03-20 02:16:00
6173.47,6179.09,6172.0,6172.26,155643.84,2020-03-20 02:17:00
6180.41,6180.48,6173.47,6173.47,200393.79,2020-03-20 02:18:00
6173.82,6181.43,6170.16,6180.41,242832.88,2020-03-20 02:19:00
6179.72,6181.99,6173.15,6173.82,302199.86,2020-03-20 02:20:00
6180.97,6183.32,6175.01,6179.72,159382.11,2020-03-20 02:21:00
6189.64,6196.0,6179.17,6180.97,650093.33,2020-03-20 02:22:00
6195.3,6196.0,6188.93,6189.64,239729.42,2020-03-20 02:23:00
6195.86,6200.0,6190.72,6195.3,547421.18,2020-03-20 02:24:00
6191.5,6196.7,6190.2,6195.86,187011.37,2020-03-20 02:25:00
6184.29,6192.26,6182.91,6191.5,201410.94,2020-03-20 02:26:00
6176.58,6185.95,6176.34,6184.29,219296.55,2020-03-20 02:27:00
6191.3,6194.93,6176.57,6176.58,378644.53,2020-03-20 02:28:00
6192.3,6195.06,6185.37,6191.3,132254.44,2020-03-20 02:29:00
6178.18,6194.98,6171.0,6192.3,518054.81,2020-03-20 02:30:00
6169.65,6186.63,6165.71,6178.18,237054.4,2020-03-20 02:31:00
6173.77,6182.8,6167.31,6169.65,216862.18,2020-03-20 02:32:00
6180.0,6180.0,6170.47,6173.77,223099.31,2020-03-20 02:33:00
6177.85,6182.85,6172.21,6180.0,300031.59,2020-03-20 02:34:00
6176.96,6182.42,6176.02,6177.85,91754.05,2020-03-20 02:35:00
6168.64,6176.97,6167.82,6176.96,296459.93,2020-03-20 02:36:00
6168.02,6172.38,6166.09,6168.64,227149.86,2020-03-20 02:37:00
6172.34,6173.29,6164.64,6168.02,155893.16,2020-03-20 02:38:00
6171.78,6174.1,6167.0,6172.34,138535.07,2020-03-20 02:39:00
6171.93,6180.0,6168.57,6171.78,331546.15,2020-03-20 02:40:00
6177.9,6179.12,6171.93,6171.93,111008.93,2020-03-20 02:41:00
6177.83,6178.42,6172.28,6177.9,154112.64,2020-03-20 02:42:00
6177.44,6180.0,6173.98,6177.83,327656.41,2020-03-20 02:43:00
6175.4,6191.49,6170.0,6177.44,537146.36,2020-03-20 02:44:00
6171.2,6177.11,6170.07,6175.4,235356.08,2020-03-20 02:45:00
